Timestamp;GazeX;GazeY;LeftEye;RightEye;LineNumber
78453041,5299757;966,2818;525,5776;False;True;0
78453055,0115372;957,7695;531,4346;True;True;0
78453069,9866572;1017,19;497,5735;True;True;0
78453085,5487089;1012,074;502,1204;True;True;0
78453100,9457811;1021,092;504,8339;False;True;0
78453144,772545;1038,811;493,2101;True;True;0
78453159,8449801;1045,968;531,1026;True;True;0
78453175,9441655;1051,054;525,9384;False;True;0
78453190,3198093;1051,426;507,8994;False;True;0
78453204,958508;1045,217;490,678;True;True;0
78453218,9825251;1042,326;480,0751;False;True;0
78453233,9473814;1035,095;482,5705;True;True;0
78453250,157947;1033,68;483,6278;True;True;0
78453279,8869472;1045,721;461,25;True;False;0
78453293,5091594;1057,867;462,9728;True;True;0
78453309,9911428;1064,821;461,2704;True;True;0
78453324,5560949;1084,09;470,101;True;True;0
78453338,7713209;1095,496;468,9562;True;True;0
78453354,1102321;1096,208;485,4094;False;True;0
78453369,0226296;1089,669;505,5443;True;True;0
78453383,5864413;1083,49;511,9279;True;True;0
78453399,015445;1083,207;519,2253;True;True;0
78453430,0578188;1086,775;519,2108;True;True;0
78453444,112627;1092,926;516,1998;True;True;0
78453458,8494011;1104,476;512,2249;True;True;0
78453473,8743191;1105,858;512,9621;True;True;0
78453489,1516481;1104,539;523,1915;True;True;0
78453503,879679;1103,077;525,8107;False;True;0
78453518,9886073;1103,292;524,3741;True;True;0
78453534,5274706;1108,609;519,2643;True;True;0
78453548,8065596;1110,666;520,4916;False;True;0
78453579,8789644;1129,486;507,0094;False;True;0
78453593,7554882;1129,332;494,9767;False;True;0
78453608,9446254;1139,252;498,5437;True;True;0
78453623,979427;1140,268;501,5138;False;True;0
78453638,7097387;1141,813;497,0907;False;True;0
78453653,718691;1141,839;497,5339;True;True;0
78453668,5238897;1136,046;511,3016;True;True;0
78453683,5700954;1136,528;511,9754;False;True;0
78453698,7413661;1139,849;509,011;True;True;0
78453729,1918666;1140,168;521,2264;True;True;0
78453743,9662742;1145,785;524,2707;True;True;0
78453758,8779114;1146,113;526,924;False;True;0
78453773,7260656;1143,15;529,9622;True;True;0
78453791,2872582;1136,846;520,1121;True;True;0
78453806,7862071;1139,296;514,4733;False;True;0
78453821,6252381;1149,617;505,6117;True;True;0
78453836,3335019;1159,32;496,4412;True;True;0
78453851,4272247;1166,204;489,2389;False;True;0
78453882,2092046;1191,776;486,6595;False;True;0
78453896,7479273;1206,865;502,7171;True;True;0
78453908,5987007;1204,857;500,1253;True;False;0
78453923,5684988;1203,766;494,0862;True;True;0
78453939,2438313;1204,843;503,4798;False;True;0
78453953,9581773;1206,52;504,5252;False;True;0
78453968,5638041;1201,076;502,8856;True;True;0
78453983,7179687;1203,368;507,7138;True;True;0
78453998,7417463;1196,833;501,8774;True;True;0
78454030,0437538;1204,38;515,208;False;True;0
78454044,00999;1207,901;513,1105;False;True;0
78454058,6414661;1217,365;509,8827;True;True;0
78454074,1468774;1220,751;513,1937;True;True;0
78454088,8771891;1243,056;520,6848;True;True;0
78454103,6542577;1244,156;520,3428;True;True;0
78454119,1494053;1254,357;522,4673;True;True;0
78454134,0055424;1254,044;520,1057;True;True;0
78454148,6469021;1249,659;512,0098;True;True;0
78454179,9565123;1252,052;509,6433;True;True;0
78454193,6992279;1260,977;500,5891;True;False;0
78454212,3829653;1258,736;499,3387;True;False;0
78454227,5542361;1258,089;501,3074;True;True;0
78454242,2305683;1261,856;511,887;True;True;0
78454258,6140962;1253,925;518,7635;True;True;0
78454272,8335038;1255,149;518,2924;True;True;0
78454287,6246374;1256,454;517,4268;True;True;0
78454299,5746266;1256,473;520,6193;True;True;0
78454329,7719558;1254,463;522,2349;True;True;0
78454343,9480277;1260,842;519,495;True;True;0
78454358,7311785;1267,275;520,2587;True;True;0
78454374,1651239;1281,682;524,4333;True;True;0
78454389,7290763;1285,078;522,5783;True;True;0
78454403,5345145;1284,635;521,3918;True;True;0
78454418,688299;1281,87;525,6483;True;True;0
78454435,3158749;1282,609;528,8868;True;True;0
78454448,5834192;1286,338;537,0697;True;True;0
78454480,4366255;1290,007;530,0336;True;True;0
78454493,8642074;1301,015;525,3918;True;True;0
78454508,6614233;1347,301;516,2712;True;True;0
78454524,1204578;1353,404;513,122;True;True;0
78454538,8739579;1354,308;513,762;True;True;0
78454553,7700095;1356,25;516,9469;True;True;0
78454569,2267632;1353,484;520,1086;True;True;0
78454583,7115064;1349,896;519,2496;True;True;0
78454601,5654045;1341,057;520,1572;True;True;0
78454632,3698125;1333,107;529,2336;True;True;0
78454646,4052337;1325,028;536,6571;True;True;0
78454662,9662856;1339,726;513,6418;True;True;0
78454676,5713916;1337,487;517,9555;True;True;0
78454691,7202343;1360,714;485,1342;True;True;0
78454707,6434162;1363,679;480,748;True;True;0
78454721,5404675;1359,682;465,3133;True;True;0
78454736,4718718;1352,922;462,0836;True;True;0
78454749,3965324;1358,823;472,5898;True;True;0
78454779,7276698;1328,66;485,3;True;True;0
78454794,0759438;1333,647;476,1472;True;True;0
78454808,5215329;1335,397;483,655;True;True;0
78454823,7213139;1177,375;501,5511;True;True;0
78454839,5076465;735,4574;580,5109;True;True;0
78454853,6209957;785,5096;552,1919;False;True;0
78454868,7690781;763,7435;551,8276;True;True;0
78454884,6983422;686,1113;553,2526;True;True;0
78454898,7360442;678,0324;546,2887;True;True;0
78454929,8692709;643,7188;493,743;True;True;0
78454943,652281;651,3388;497,7722;True;True;0
78454958,8341956;653,2274;516,4926;True;True;0
78454974,5775727;640,3378;524,5331;True;True;0
78454989,0520522;652,3995;539,5413;True;True;0
78455003,766018;651,454;538,6716;True;True;0
78455019,4626382;656,1309;554,4549;True;True;0
78455033,6109601;656,4226;555,3517;True;True;0
78455048,840772;653,7288;554,6163;True;True;0
78455079,2023204;652,6326;570,6072;True;True;0
78455093,8668684;653,958;576,9747;True;True;0
78455108,8655569;656,2253;560,7006;True;True;0
78455123,6924235;655,8456;554,0401;True;True;0
78455138,8792799;654,7333;545,3679;True;True;0
78455154,1368417;655,3517;536,3662;True;True;0
78455168,6508555;653,8082;535,0734;False;True;0
78455183,7457187;654,8416;537,7515;True;True;0
78455199,0701847;655,1105;534,3791;True;True;0
78455229,9107058;668,0456;556,9989;True;True;0
78455243,8552742;689,9716;554,1429;True;True;0
78455258,9759867;714,8052;550,954;True;True;0
78455273,4991238;718,1099;547,4322;True;True;0
78455289,0254426;719,6178;538,1478;True;True;0
78455303,6056002;720,4402;545,4194;True;True;0
78455318,5944051;718,7928;544,2434;True;True;0
78455333,874015;714,1358;546,2255;False;True;0
78455348,4568335;715,2083;548,5405;False;True;0
78455379,8941698;716,3461;545,2681;True;False;0
78455393,7543478;722,9282;547,7896;True;False;0
